Linha: 04 Recebido: 'int' Esperado: 'program'
Linha: 05 Recebido: 'a' Esperado: 'var'
Linha: 05 Recebido: 'a' Esperado: 'const'
Linha: 05 Recebido: 'a' Esperado: 'register'
Linha: 05 Recebido: 'a' Esperado: 'procedure'
Linha: 05 Recebido: 'a' Esperado: 'function'
Linha: 05 Recebido: 'a' Esperado: 'main'
Linha: 05 Recebido: 'a' Esperado: 'var'
Linha: 05 Recebido: 'a' Esperado: 'const'
Linha: 05 Recebido: 'a' Esperado: 'register'
Linha: 05 Recebido: 'a' Esperado: 'procedure'
Linha: 05 Recebido: 'a' Esperado: 'function'
Linha: 05 Recebido: 'a' Esperado: 'main'
